id,date,time,hour,year,month,day,text,favorite_count,retweet_count,media_type
7.68E+17,8/23/2016,8:29:00 PM,20,2016,8,23,b'Get Up to 25% OFF Activities when you PRE-book your adventure! https://t.co/UoUk2UMSXp',0,0,
7.66E+17,8/18/2016,7:22:00 PM,19,2016,8,18,b'@gociety Come Check Us out! https://t.co/ii5R4OwDth https://t.co/EDqkhdIQ52',0,1,
7.66E+17,8/18/2016,7:19:00 PM,19,2016,8,18,b'Much to do @LawsonAdventure @Colorado @visitdenver @VisitClearCreek https://t.co/9vIcfE8c5l to book your adventure https://t.co/yM8Gt6gwyN',0,1,
7.63E+17,8/9/2016,3:09:00 AM,3,2016,8,9,b'RT @InGoodTasteDen: People are going crazy for our contest for a Family 4-pack to @LawsonAdventure #Colorado. Entry deadline 8/12! https://\xe2\x80\xa6',4,0,
7.63E+17,8/9/2016,3:09:00 AM,3,2016,8,9,"b'RT @amydipierro: The miners maze, a mechanical bull and other features from Heritage Square live on at the new @LawsonAdventure park https:\xe2\x80\xa6'",2,0,
7.63E+17,8/9/2016,2:17:00 PM,14,2016,8,9,b'Come anytime! #michaelphelps #phelpsface #lawsonadventure #rioolympics2016 https://t.co/Qt5hfyx304',0,0,
7.63E+17,8/9/2016,2:12:00 PM,14,2016,8,9,b'#phelpsface #lawsonadventure https://t.co/9PZHVaSSLk',0,0,
7.63E+17,8/8/2016,9:34:00 PM,21,2016,8,8,b'Thanks to @5280Magazine for including us in your end of summer round-up! https://t.co/y7hkIUYmDC',0,2,
7.62E+17,8/5/2016,2:41:00 PM,14,2016,8,5,b'Thanks @Business_Den for profiling us! https://t.co/KdqFYAVGGq #lawsonadventure',0,2,
7.61E+17,8/3/2016,10:23:00 PM,22,2016,8,3,b'@LauraKellyArt thats what we like to hear!',0,1,
7.60E+17,8/1/2016,7:39:00 PM,19,2016,8,1,b'On Colorados birthday #140years  celebrate by supporting local #tamagear #bisondesigns\xe2\x80\xa6 https://t.co/Qhn1gXs6WX',0,0,
7.59E+17,7/29/2016,11:55:00 PM,23,2016,7,29,b'RT @MacKidEvergreen: What a great experience we had at @LawsonAdventure Park! Makes a great #summerlastblast #mackid #hosted https://t.co/R\xe2\x80\xa6',3,0,
7.59E+17,7/29/2016,11:59:00 PM,23,2016,7,29,b'Thanks to @TheDenverEar for sharing the news about our official grand opening this weekend! https://t.co/SxCP3pP6fJ',1,1,
7.59E+17,7/29/2016,10:23:00 PM,22,2016,7,29,b'@MacKidEvergreen We were so glad to have you',0,0,
7.59E+17,7/29/2016,2:57:00 PM,14,2016,7,29,b'Adventure awaits you!! 20% off all weekend long! @lawsonadventure https://t.co/KeRVWd4mmu',0,0,
7.58E+17,7/28/2016,1:16:00 AM,1,2016,7,28,b'RT @MileHighCheap: 20% Off Grand Opening Weekend at Lawson Adventure Park https://t.co/EJ0qNyj3aS',3,0,
7.59E+17,7/28/2016,5:17:00 PM,17,2016,7,28,"b'Thanks to @DebbiesDeals for sharing the news of our Grand Opening weekend special, https://t.co/Hjcek98O4q. Call now to schedule your visit.'",2,2,
7.58E+17,7/28/2016,1:16:00 AM,1,2016,7,28,b'@MileHighCheap Thanks for sharing the news!',0,0,
7.58E+17,7/27/2016,8:02:00 PM,20,2016,7,27,"b'Thanks @CHendeeDenBiz with @denbizjournal for taking a look at the Park, https://t.co/5fFdXBGRWI. #Colorado #events #adventure #grandopening'",0,5,
7.58E+17,7/27/2016,3:03:00 AM,3,2016,7,27,b'@KRDONewsRadio  thanks for the follow',0,0,
7.58E+17,7/26/2016,4:14:00 PM,16,2016,7,26,b'Thanks to our friends at the Clear Creek Courant for checking out the Park. Grand opening weekend kicks off Friday!  https://t.co/T0ySsRTM3p',2,2,
7.55E+17,7/19/2016,6:25:00 PM,18,2016,7,19,b'Thank you #honesttea for keeping our guests &amp; guides hydrated all weekend #refreshinglyhonest\xe2\x80\xa6 https://t.co/58OBu4NQJK',0,4,
7.55E+17,7/19/2016,4:29:00 PM,16,2016,7,19,b'Funtimes on the via ferrata.. https://t.co/fXcZPIvGZE',0,0,
7.54E+17,7/15/2016,12:30:00 AM,0,2016,7,15,b'@lawsonadventure is now the newest member of @evergreenchamberofcommerce https://t.co/avL6nY7rnI',0,1,
7.54E+17,7/15/2016,7:49:00 PM,19,2016,7,15,b'Fastest ZORB wins a prize pack all weekend. Winner has choice of 3 different color shirts and 2\xe2\x80\xa6 https://t.co/75fi8HwKIL',0,0,
7.54E+17,7/15/2016,3:22:00 PM,15,2016,7,15,b'Check out our weekend event on #lawsonadventure  facebook\xe2\x80\xa6 https://t.co/iLflOvYrXs',0,0,
7.53E+17,7/13/2016,11:04:00 PM,23,2016,7,13,b'@DenisePlante &amp; @JackieKOSISelby Great selfie #NoShameInMySelfieGame  Check us out @LawsonAdventure It be fun to catchup withsome oldfriends',0,1,
7.53E+17,7/11/2016,4:01:00 PM,16,2016,7,11,"b'@shaun505 Ever want to roll down hill in a giant hamster ball??? If so, come check us out! @LawsonAdventure'",0,1,
7.53E+17,7/11/2016,3:27:00 PM,15,2016,7,11,b'@jasonblevins Great article in @denverpost about @VailResorts . We want to invite you to check out our new park @LawsonAdventure Let us know',0,0,
7.51E+17,7/7/2016,7:56:00 PM,19,2016,7,7,b'New t-shirts just in! Thank you denver-based inkloungedenver #inkloungedenver . We love to\xe2\x80\xa6 https://t.co/AcYo4r9nEt',0,1,
7.48E+17,6/29/2016,5:00:00 PM,17,2016,6,29,b'Ever Want to Walk on Water? Here is our staff trying the New Water Walkerz Activity https://t.co/xnhd0Myf1x',0,4,
7.48E+17,6/28/2016,2:33:00 PM,14,2016,6,28,"b'#lawsonadventure  supports  CO Local businesses, #sweetwoodcattle, #pakems #bisondesigns\xe2\x80\xa6 https://t.co/DqZcActKho'",0,2,
7.47E+17,6/27/2016,2:12:00 PM,14,2016,6,27,b'Come check us out. Exit 234 on I-70! https://t.co/hegg2fkSHN',0,1,
7.46E+17,6/23/2016,10:47:00 PM,22,2016,6,23,"b'Check us out,\nhttps://t.co/T0ySsRTM3p'",0,0,
7.46E+17,6/22/2016,3:34:00 PM,15,2016,6,22,"b'Fun times in the ZORB! @lawsonadventure, #lawsonadventure @ Lawson Adventure Park https://t.co/ABUnVYo8R7'",1,0,
7.45E+17,6/21/2016,4:47:00 PM,16,2016,6,21,b'Check out our Deal on Denver Perks! https://t.co/vw1XUDrF8D',0,1,
7.44E+17,6/16/2016,8:44:00 PM,20,2016,6,16,b'Staff uniforms for our park. WE ARE OPEN! https://t.co/6a51sCz6Qb',0,0,
7.43E+17,6/15/2016,4:16:00 PM,16,2016,6,15,"b""A lil gurilla marketing during the @revelrockies marathon... Get ZORB'd @\xe2\x80\xa6 https://t.co/bI4JoQHcwq""",0,0,
7.43E+17,6/14/2016,2:58:00 PM,14,2016,6,14,b'Lodging Coming Soon! https://t.co/OdWteNnU2q',1,2,
7.43E+17,6/14/2016,8:59:00 PM,20,2016,6,14,b'Come check out our new magnetic spider wall! Fun for all! https://t.co/rlc1ACB0sG',0,0,
7.42E+17,6/13/2016,3:54:00 PM,15,2016,6,13,b'Come Check out our Challenge Course starting June 16th. 50% OFF on all activities till June 22nd! https://t.co/5c2L12RoQy',0,0,
7.41E+17,6/10/2016,4:46:00 PM,16,2016,6,10,b'ZORB down hill before? picture rolling around in a giant hamster ball. Visit https://t.co/ii5R4OwDth to learn more https://t.co/0E5OvwmpfD',0,1,
7.41E+17,6/9/2016,4:01:00 PM,16,2016,6,9,b'What will be rolling down this starting june 16th? https://t.co/gs1DOPd6FW',0,1,
7.41E+17,6/8/2016,10:36:00 PM,22,2016,6,8,b'Opening June 16 https://t.co/7XrEyl1EyH',0,0,
7.40E+17,6/6/2016,10:04:00 PM,22,2016,6,6,b'Check out our new banner! We open in less then 2 weeks! https://t.co/msTddTXjNv',0,0,
